Country,Year,Methane_Co2_Equivalent_in_Kt,MethaneDeviation,GDP,Country Code,IncomeGroup,Region,lat,lon,TotalEmissions,
Aruba,1970,10.2469,0,6382,ABW,High income,Latin America & Caribbean,12.52368,-70.03487,515,0
Afghanistan,1970,10202,0,1174,AFG,Low income,South Asia,34.53156,69.12535,418090,0
Angola,1970,23376.6,0,5397,AGO,Lower middle income,Sub-Saharan Africa,-12.3329,16.8309,768497,0
Albania,1970,1763.64,0,3712,ALB,Upper middle income,Europe & Central Asia,41.32233,19.82516,100147,0
United Arab Emirates,1970,12873,0,42822,ARE,High income,Middle East & North Africa,23.4997,54.1571,824537,0
Argentina,1970,84917.8,0,9951,ARG,High income,Latin America & Caribbean,-34.60851,-58.37349,4137984,0
Armenia,1970,1317.98,0,3533,ARM,Upper middle income,Europe & Central Asia,40.17334,44.51461,97866,0
Antigua and Barbuda,1970,24.3148,0,5807,ATG,High income,Latin America & Caribbean,17.0852,-61.8118,1516,0
Australia,1970,94290.8,0,19719,AUS,High income,East Asia & Pacific,-35.30655,149.12656,4907976,0
Austria,1970,9022.21,0,17865,AUT,High income,Europe & Central Asia,48.20255,16.3688,399006,0
Azerbaijan,1970,6397.68,0,7285,AZE,Upper middle income,Europe & Central Asia,40.4299,47.4369,459643,0
Burundi,1970,1468.92,0,782,BDI,Low income,Sub-Saharan Africa,-3.36014,29.36907,79489,0
Belgium,1970,14123.1,0,18903,BEL,High income,Europe & Central Asia,50.84839,4.34969,520579,0
Benin,1970,3460.96,0,1205,BEN,Low income,Sub-Saharan Africa,6.48771,2.61353,193598,0
Burkina Faso,1970,4613.42,0,790,BFA,Low income,Sub-Saharan Africa,11.58778,-2.47413,345405,0
Bangladesh,1970,91304.9,0,1226,BGD,Lower middle income,South Asia,23.71321,90.39957,3878389,0
Bulgaria,1970,9939.9,0,7971,BGR,Upper middle income,Europe & Central Asia,42.69717,23.32435,569442,0
Bahrain,1970,791.432,0,31232,BHR,High income,Middle East & North Africa,26.22954,50.576,83450,0
"Bahamas, The",1970,93.6182,0,21210,BHS,High income,Latin America & Caribbean,24.6591,-78.006,6464,0
Bosnia and Herzegovina,1970,3173.7,0,2500,BIH,Upper middle income,Europe & Central Asia,43.85944,18.43576,139892,0
Belarus,1970,12125.1,0,5461,BLR,Upper middle income,Europe & Central Asia,53.90255,27.5631,657045,0
Belize,1970,96.4889,0,2509,BLZ,Upper middle income,Latin America & Caribbean,17.25414,-88.77046,6931,0
